APVA Branch Forecast Study v0.1 - Aggregate
============================================================================================================
Instruments: 6E, CL, NQ

Aggregate Model Comparison Table
Model | Top1Accuracy_6E | Top1Accuracy_CL | Top1Accuracy_NQ | MeanTop1Accuracy | Top2Accuracy | Top3Accuracy | MeanBrierScore | MeanCalibrationError | MeanForecastEntropy | UniqueKeyCount | SparseKeyRate
Baseline_MostCommonNextNode | 16.09% | 16.62% | 15.40% | 16.04% | 25.43% | 34.54% | 0.9278 | 0.00% | 2.9245 | 1 | 0.00%
Model1_CurrentNode | 56.18% | 55.09% | 58.48% | 56.58% | 76.02% | 86.40% | 0.5936 | 0.00% | 1.2167 | 41 | 24.39%
Model2_CurrentPreviousNode | 59.75% | 60.49% | 63.50% | 61.25% | 80.35% | 89.69% | 0.5504 | 0.00% | 1.0961 | 227 | 59.47%
Model3_CurrentMemoryClass | 56.18% | 55.09% | 58.48% | 56.58% | 76.02% | 86.40% | 0.5936 | 0.00% | 1.2167 | 41 | 24.39%
Model4_CurrentConfidenceBucket | 56.18% | 55.09% | 58.48% | 56.58% | 76.02% | 86.40% | 0.5936 | 0.00% | 1.2167 | 41 | 24.39%
Model5_CurrentEntropyBucket | 56.18% | 55.09% | 58.48% | 56.58% | 76.02% | 86.40% | 0.5936 | 0.00% | 1.2167 | 41 | 24.39%
Model6_Combined | 59.75% | 60.49% | 63.50% | 61.25% | 80.35% | 89.69% | 0.5504 | 0.00% | 1.0961 | 227 | 59.47%

Aggregate Branch Table
CurrentNode | NextNode | Count | Probability_6E | Probability_CL | Probability_NQ | ReplicationCount
NeutralProcessing_Age6-10 | MixedStructure_Age1 | 315 | 9.64% | 9.62% | 8.90% | 3
CompressionProcessing_Age4 | CompressionProcessing_Age5 | 302 | 53.41% | 54.55% | 44.44% | 3
ReassertionProcessing_Age1 | ReassertionProcessing_Age2 | 300 | 13.47% | 18.39% | 21.09% | 3
RecoveryResolution_Age2 | RecoveryResolution_Age3 | 287 | 74.04% | 71.05% | 69.23% | 3
DestructiveRotation_Age1 | DecayToNeutral_Age1 | 286 | 29.78% | 28.17% | 26.98% | 3
ExhaustionPersistence_Age1 | RecoveryResolution_Age1 | 274 | 21.24% | 29.90% | 15.69% | 3
DestructiveRotation_Age1 | NeutralProcessing_Age1 | 269 | 27.27% | 35.21% | 25.40% | 3
ExhaustionPersistence_Age2 | ExhaustionPersistence_Age3 | 269 | 76.97% | 67.74% | 73.68% | 3
NeutralProcessing_Age1 | DestructiveRotation_Age1 | 265 | 4.18% | 3.37% | 4.38% | 3
ExhaustionPersistence_Age1 | DecayToNeutral_Age1 | 246 | 19.53% | 17.53% | 21.57% | 3
NeutralProcessing_Age6-10 | NeutralProcessing_Age11-20 | 244 | 7.66% | 5.29% | 6.28% | 3
NeutralProcessing_Age3 | MixedStructure_Age1 | 213 | 10.95% | 10.71% | 5.36% | 3
CompressionProcessing_Age1 | ExhaustionPersistence_Age1 | 198 | 6.18% | 7.34% | 4.49% | 3
RecoveryResolution_Age3 | CompressionProcessing_Age1 | 197 | 68.92% | 62.96% | 77.78% | 3
CompressionProcessing_Age3 | NeutralProcessing_Age1 | 192 | 21.07% | 24.39% | 16.67% | 3
ExhaustionPersistence_Age1 | NeutralProcessing_Age1 | 181 | 14.70% | 11.34% | 11.76% | 3
NeutralProcessing_Age3 | ReassertionProcessing_Age1 | 176 | 8.21% | 10.00% | 16.07% | 3
MixedStructure_Age1 | ReassertionProcessing_Age1 | 174 | 4.41% | 6.09% | 7.10% | 3
ExhaustionPersistence_Age3 | ExhaustionPersistence_Age4 | 170 | 61.11% | 76.19% | 78.57% | 3
ExhaustionPersistence_Age1 | CompressionProcessing_Age1 | 155 | 12.99% | 7.22% | 5.88% | 3
RecoveryResolution_Age1 | NeutralProcessing_Age1 | 150 | 12.33% | 10.64% | 15.22% | 3
CompressionProcessing_Age4 | NeutralProcessing_Age1 | 149 | 26.89% | 22.73% | 11.11% | 3
NeutralProcessing_Age6-10 | CompressionProcessing_Age1 | 146 | 4.65% | 3.37% | 2.62% | 3
ReassertionProcessing_Age2 | DestructiveRotation_Age1 | 146 | 45.99% | 56.25% | 61.29% | 3
ReassertionProcessing_Age1 | DestructiveRotation_Age1 | 145 | 7.28% | 6.32% | 4.08% | 3
