APVA Neutral Failure Timing Study v0.1 - 6E
================================================================================================
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
ReferenceFailureCount: 2052
StableControlCount: 14630
Purpose: Test causal NeutralFailure timing as a warning score overlay.

1. Reference Failure Inventory
FailureNode | Count | Count_6E | Count_CL | Count_NQ | Probability
NeutralProcessing_Age2 | 931 | 931 | 0 | 0 | 45.37%
NeutralProcessing_Age2 | MixedStructure | 109 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age2 | ReassertionProcessing | 85 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age2 | CompressionProcessing | 77 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age6-10 | ReassertionProcessing | 74 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age6-10 | MixedStructure | 66 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age2 | MixedStructure | 43 | RangePressure+BodyPressure+EfficiencyPressure
NeutralProcessing_Age3 | ReassertionProcessing | 32 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age2 | ReassertionProcessing | 31 | RangePressure+BodyPressure+EfficiencyPressure
NeutralProcessing_Age3 | MixedStructure | 28 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age2 | CompressionProcessing | 22 | RangePressure+BodyPressure+EfficiencyPressure
NeutralProcessing_Age6-10 | MixedStructure | 19 | RangePressure+BodyPressure+EfficiencyPressure
NeutralProcessing_Age6-10 | ReassertionProcessing | 19 | RangePressure+BodyPressure+EfficiencyPressure
NeutralProcessing_Age6-10 | CompressionProcessing | 17 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age3 | CompressionProcessing | 15 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age5 | ReassertionProcessing | 15 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age11-20 | MixedStructure | 15 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age2 | MixedStructure | 14 | BodyPressure+VolumePressure+EfficiencyPressure
NeutralProcessing_Age5 | MixedStructure | 13 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age11-20 | ReassertionProcessing | 13 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age2 | ReassertionProcessing | 12 | BodyPressure+VolumePressure+EfficiencyPressure
NeutralProcessing_Age3 | CompressionProcessing | 12 | RangePressure+BodyPressure+EfficiencyPressure
NeutralProcessing_Age3 | MixedStructure | 12 | RangePressure+BodyPressure+EfficiencyPressure
NeutralProcessing_Age2 | MixedStructure | 9 | RangePressure+BodyPressure+CloseExtremePressure
NeutralProcessing_Age2 | CompressionProcessing | 8 | BodyPressure+EfficiencyPressure+CloseExtremePressure
NeutralProcessing_Age2 | MixedStructure | 8 | RangePressure+VolumePressure+CloseExtremePressure
NeutralProcessing_Age3 | ReassertionProcessing | 8 | RangePressure+BodyPressure+EfficiencyPressure
NeutralProcessing_Age2 | DestructiveRotation | 7 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age5 | CompressionProcessing | 7 | RangePressure+BodyPressure+VolumePressure
NeutralProcessing_Age11-20 | MixedStructure | 6 | RangePressure+BodyPressure+EfficiencyPressure
NeutralProcessing_Age11-20 | CompressionProcessing | 6 | RangePressure+BodyPressure+VolumePressure
