APVA Phase Transition Matrix Study v0.1 - 6E
=============================================
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
Structural state counts: {'MixedStructure': 3671, 'NeutralProcessing': 16992, 'ReassertionProcessing': 2011, 'RecoveryResolution': 1696, 'CompressionProcessing': 6489, 'ExhaustionPersistence': 1884, 'DecayToNeutral': 1486, 'DestructiveRotation': 948, 'ConstructiveEmergence': 83}
Lifecycle phase counts: {'Terminal': 7908, 'Growth': 6973, 'Maturity': 2937, 'Insufficient': 68, 'Birth': 12364, 'Decay': 5010}
Valid phase observations: 35192

Section 1 - Phase Counts
========================
Phase              Count  Frequency
Birth              12364     35.07%
Growth              6973     19.78%
Maturity            2937      8.33%
Decay               5010     14.21%
Terminal            7908     22.43%
Insufficient          68      0.19%

Section 2 - Phase -> NextState Tables
=====================================
Phase           H NextState                        Count  Probability      Lift
Growth          3 Terminal                          1168       16.75%     0.747
Growth          3 Insufficient                         8        0.11%     0.595
Maturity        3 Birth                              925       31.49%     0.898
Maturity        3 Growth                             515       17.53%     0.887
Maturity        3 Maturity                            79        2.69%     0.323
Maturity        3 Decay                              764       26.01%     1.831
Maturity        3 Terminal                           647       22.03%     0.982
Maturity        3 Insufficient                         7        0.24%     1.236
Decay           3 Birth                             1476       29.46%     0.840
Decay           3 Growth                             573       11.44%     0.578
Decay           3 Maturity                           142        2.83%     0.340
Decay           3 Decay                             1223       24.41%     1.718
Decay           3 Terminal                          1593       31.80%     1.418
Decay           3 Insufficient                         3        0.06%     0.310
Terminal        3 Birth                             2496       31.57%     0.900
Terminal        3 Growth                            2337       29.56%     1.495
Terminal        3 Maturity                           405        5.12%     0.615
Terminal        3 Decay                              116        1.47%     0.103
Terminal        3 Terminal                          2526       31.95%     1.425
Terminal        3 Insufficient                        26        0.33%     1.705
Insufficient    3 Birth                               33       48.53%     1.384
Insufficient    3 Growth                              14       20.59%     1.041
Insufficient    3 Maturity                             8       11.76%     1.413
Insufficient    3 Decay                                1        1.47%     0.103
Insufficient    3 Terminal                            12       17.65%     0.787
Birth           5 Birth                             4343       35.13%     1.002
Birth           5 Growth                            2692       21.78%     1.101
Birth           5 Maturity                          1038        8.40%     1.008
Birth           5 Decay                             1717       13.89%     0.977
Birth           5 Terminal                          2550       20.63%     0.920
Birth           5 Insufficient                        22        0.18%     0.936
Growth          5 Birth                             2318       33.24%     0.948
Growth          5 Growth                            1145       16.42%     0.830
Growth          5 Maturity                           556        7.97%     0.957
Growth          5 Decay                             1529       21.93%     1.543
Growth          5 Terminal                          1418       20.34%     0.907
Growth          5 Insufficient                         7        0.10%     0.528
Maturity        5 Birth                             1045       35.58%     1.015
Maturity        5 Growth                             558       19.00%     0.961
Maturity        5 Maturity                           237        8.07%     0.969
Maturity        5 Decay                              535       18.22%     1.282
Maturity        5 Terminal                           560       19.07%     0.850
Maturity        5 Insufficient                         2        0.07%     0.358
Decay           5 Birth                             1634       32.61%     0.930
Decay           5 Growth                             879       17.54%     0.887
Decay           5 Maturity                           335        6.69%     0.803
Decay           5 Decay                              441        8.80%     0.619
Decay           5 Terminal                          1713       34.19%     1.525
Decay           5 Insufficient                         8        0.16%     0.840
Terminal        5 Birth                             2995       37.89%     1.080
Terminal        5 Growth                            1680       21.25%     1.075
Terminal        5 Maturity                           763        9.65%     1.159
Terminal        5 Decay                              782        9.89%     0.696
Terminal        5 Terminal                          1657       20.96%     0.935
Terminal        5 Insufficient                        28        0.35%     1.864
Insufficient    5 Birth                               28       41.18%     1.174
Insufficient    5 Growth                              18       26.47%     1.339
Insufficient    5 Maturity                             7       10.29%     1.236
Insufficient    5 Decay                                6        8.82%     0.621
Insufficient    5 Terminal                             9       13.24%     0.590

Section 4 - State + Phase -> NextState Tables
=============================================
CurrentState                 Phase           H NextState                        Count  Probability      Lift
RecoveryResolution           Birth           1 RecoveryResolution                 339       31.42%     6.532
RecoveryResolution           Birth           1 CompressionProcessing              607       56.26%     3.057
RecoveryResolution           Birth           1 NeutralProcessing                  133       12.33%     0.256
RecoveryResolution           Maturity        1 RecoveryResolution                 251       74.04%    15.393
RecoveryResolution           Maturity        1 NeutralProcessing                   88       25.96%     0.539
RecoveryResolution           Terminal        1 RecoveryResolution                  16        6.37%     1.325
RecoveryResolution           Terminal        1 ExhaustionPersistence               31       12.35%     2.311
RecoveryResolution           Terminal        1 CompressionProcessing              173       68.92%     3.745
RecoveryResolution           Terminal        1 NeutralProcessing                   31       12.35%     0.256
RecoveryResolution           Insufficient    1 RecoveryResolution                  11       40.74%     8.470
RecoveryResolution           Insufficient    1 CompressionProcessing               13       48.15%     2.616
RecoveryResolution           Insufficient    1 NeutralProcessing                    3       11.11%     0.231
ExhaustionPersistence        Birth           1 RecoveryResolution                 237       21.24%     4.415
ExhaustionPersistence        Birth           1 ExhaustionPersistence              304       27.24%     5.098
ExhaustionPersistence        Birth           1 CompressionProcessing              145       12.99%     0.706
ExhaustionPersistence        Birth           1 NeutralProcessing                  164       14.70%     0.305
ExhaustionPersistence        Birth           1 DecayToNeutral                     218       19.53%     4.635
ExhaustionPersistence        Birth           1 DestructiveRotation                 48        4.30%     1.600
ExhaustionPersistence        Maturity        1 RecoveryResolution                  67       22.04%     4.582
ExhaustionPersistence        Maturity        1 ExhaustionPersistence              234       76.97%    14.406
ExhaustionPersistence        Maturity        1 NeutralProcessing                    3        0.99%     0.020
ExhaustionPersistence        Decay           1 RecoveryResolution                  33        8.13%     1.690
ExhaustionPersistence        Decay           1 ExhaustionPersistence              212       52.22%     9.772
ExhaustionPersistence        Decay           1 CompressionProcessing               15        3.69%     0.201
ExhaustionPersistence        Decay           1 NeutralProcessing                   98       24.14%     0.501
ExhaustionPersistence        Decay           1 DecayToNeutral                      43       10.59%     2.513
ExhaustionPersistence        Decay           1 DestructiveRotation                  5        1.23%     0.458
ExhaustionPersistence        Terminal        1 RecoveryResolution                   3        5.17%     1.075
ExhaustionPersistence        Terminal        1 ExhaustionPersistence               18       31.03%     5.808
ExhaustionPersistence        Terminal        1 CompressionProcessing                7       12.07%     0.656
ExhaustionPersistence        Terminal        1 NeutralProcessing                   10       17.24%     0.358
ExhaustionPersistence        Terminal        1 DecayToNeutral                      14       24.14%     5.727
ExhaustionPersistence        Terminal        1 DestructiveRotation                  6       10.34%     3.848
CompressionProcessing        Birth           1 RecoveryResolution                 126        4.30%     0.895
CompressionProcessing        Birth           1 ExhaustionPersistence              181        6.18%     1.157
CompressionProcessing        Birth           1 CompressionProcessing             1659       56.66%     3.079
CompressionProcessing        Birth           1 NeutralProcessing                  891       30.43%     0.631
CompressionProcessing        Birth           1 ReassertionProcessing               19        0.65%     0.114
CompressionProcessing        Birth           1 DecayToNeutral                       3        0.10%     0.024
CompressionProcessing        Birth           1 DestructiveRotation                 21        0.72%     0.267
CompressionProcessing        Birth           1 MixedStructure                      28        0.96%     0.092
CompressionProcessing        Growth          1 RecoveryResolution                  77        4.64%     0.965
CompressionProcessing        Growth          1 ExhaustionPersistence              115        6.93%     1.297
CompressionProcessing        Growth          1 CompressionProcessing              840       50.63%     2.751
CompressionProcessing        Growth          1 NeutralProcessing                  549       33.09%     0.687
CompressionProcessing        Growth          1 ReassertionProcessing                2        0.12%     0.021
CompressionProcessing        Growth          1 DecayToNeutral                      41        2.47%     0.586
CompressionProcessing        Growth          1 DestructiveRotation                 14        0.84%     0.314
CompressionProcessing        Growth          1 ConstructiveEmergence                1        0.06%     0.256
CompressionProcessing        Growth          1 MixedStructure                      20        1.21%     0.116
CompressionProcessing        Maturity        1 RecoveryResolution                  34        4.05%     0.841
CompressionProcessing        Maturity        1 ExhaustionPersistence               65        7.74%     1.448
CompressionProcessing        Maturity        1 CompressionProcessing              528       62.86%     3.415
CompressionProcessing        Maturity        1 NeutralProcessing                  177       21.07%     0.437
CompressionProcessing        Maturity        1 ReassertionProcessing                5        0.60%     0.104
CompressionProcessing        Maturity        1 DecayToNeutral                      11        1.31%     0.311
CompressionProcessing        Maturity        1 DestructiveRotation                  3        0.36%     0.133
