APVA Excursion Destinations Study v0.1 - 6E
================================================================================================
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
Destination event count: 747

1. Destination Inventory
DestinationFamily | Count | Count_6E | Count_CL | Count_NQ | Probability | ReplicationCount
ConstructiveEmergence | TrueRangeRelativeToPrevious | t-2 | 1.5303 | 1.3929 | 1.0623
ConstructiveEmergence | TrueRangeRelativeToPrevious | t-3 | 1.1630 | 1.1000 | 0.6298
ConstructiveEmergence | TrueRangeRelativeToPrevious | t-5 | 1.2047 | 0.9351 | 0.7770
ConstructiveEmergence | VolumeRelativeToPrevious | t-1 | 1.8515 | 1.0951 | 2.2489
ConstructiveEmergence | VolumeRelativeToPrevious | t-2 | 1.5230 | 1.2858 | 0.7302
ConstructiveEmergence | VolumeRelativeToPrevious | t-3 | 1.0655 | 0.9086 | 0.4631
ConstructiveEmergence | VolumeRelativeToPrevious | t-5 | 1.5281 | 1.1655 | 1.0354
ConstructiveEmergence | VolumeRelativeToRollingMean | t-1 | 1.0232 | 0.9036 | 0.6944
ConstructiveEmergence | VolumeRelativeToRollingMean | t-2 | 0.7544 | 0.8357 | 0.3216
ConstructiveEmergence | VolumeRelativeToRollingMean | t-3 | 0.5059 | 0.4669 | 0.1702
ConstructiveEmergence | VolumeRelativeToRollingMean | t-5 | 1.2795 | 0.6594 | 1.3141
ConstructiveEmergence | VolumeRelativeToSessionMean | t-1 | 1.2439 | 1.2594 | 0.7326
ConstructiveEmergence | VolumeRelativeToSessionMean | t-2 | 0.9704 | 1.0451 | 0.4555
ConstructiveEmergence | VolumeRelativeToSessionMean | t-3 | 0.6987 | 0.8063 | 0.2905
ConstructiveEmergence | VolumeRelativeToSessionMean | t-5 | 1.5491 | 1.0646 | 1.4037
ConstructiveEmergence | EfficiencyRatio | t-1 | 0.3575 | 0.3586 | 0.1935
ConstructiveEmergence | EfficiencyRatio | t-2 | 0.5713 | 0.6387 | 0.2701
ConstructiveEmergence | EfficiencyRatio | t-3 | 0.3775 | 0.3910 | 0.3459
ConstructiveEmergence | EfficiencyRatio | t-5 | 0.3204 | 0.2440 | 0.2281
ConstructiveEmergence | CloseLocation | t-1 | 0.6512 | 0.7083 | 0.1539
ConstructiveEmergence | CloseLocation | t-2 | 0.5378 | 0.7321 | 0.4109
