APVA Trajectory Study v0.1 - 6E
===============================
Instrument: 6E
Input: C:\Users\rz0\Documents\ApvaAnalysis\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
Valid polarity rows: 31107
Family counts: {'A': 181, 'B': 3069, 'C': 5456, 'D': 6497, 'N': 20057}
Total path windows by length: {3: 35258, 4: 35257, 5: 35256}
Study 30 family precedence reused exactly: A, then B, then C, then D, then N.

Section 1 - Family Path Tables
==============================
Path                               Len    Count   Frequency    Expected       OER
B->N->C->C->B                        5       20        18   -0.000056   -0.000100   38.89%   61.11%    0.00%
B->N->C->N->C                        5       20        20    0.000117    0.000025   50.00%   40.00%   10.00%
B->N->D->C->N                        5       20        16    0.000038    0.000125   56.25%   43.75%    0.00%
C->B->C->N->D                        5       20        20    0.000040    0.000075   60.00%   30.00%   10.00%
C->N->B->C->C                        5       20        20   -0.000225   -0.000150   35.00%   60.00%    5.00%
C->N->D->C->C                        5       20        20    0.000015   -0.000000   50.00%   50.00%    0.00%
C->N->N->B->C                        5       20        20   -0.000138   -0.000025   40.00%   50.00%   10.00%
D->D->B->N->N                        5       20        15   -0.000137   -0.000150   40.00%   60.00%    0.00%
N->B->C->N->C                        5       20        20   -0.000092   -0.000050   45.00%   50.00%    5.00%
N->C->C->N->B                        5       20        20    0.000055    0.000125   55.00%   40.00%    5.00%
N->D->C->B->C                        5       20        19   -0.000071   -0.000050   42.11%   52.63%    5.26%
N->D->N->B->B                        5       20        15   -0.000057   -0.000050   33.33%   53.33%   13.33%
N->N->B->D->C                        5       20        20    0.000107    0.000050   55.00%   45.00%    0.00%

Section 3 - Most Common Paths
.............................
  1. N->N->N                            Len=3 Count=  6376 OER=  0.9825 Cont= 47.20% Fail= 47.26%
  2. N->N->N->N                         Len=4 Count=  3628 OER=  0.9829 Cont= 45.30% Fail= 48.58%
  3. N->D->N                            Len=3 Count=  3451 OER=  1.6417 Cont= 46.75% Fail= 47.47%
  4. N->N->D                            Len=3 Count=  3064 OER=  1.4576 Cont= 46.90% Fail= 47.43%
  5. D->N->N                            Len=3 Count=  2612 OER=  1.2426 Cont= 46.33% Fail= 48.68%
  6. N->N->D->N                         Len=4 Count=  2134 OER=  1.7847 Cont= 47.09% Fail= 47.65%
  7. N->N->N->N->N                      Len=5 Count=  2102 OER=  1.0011 Cont= 45.85% Fail= 47.84%
  8. N->D->N->N                         Len=4 Count=  2026 OER=  1.6944 Cont= 45.97% Fail= 49.42%
  9. N->N->N->D                         Len=4 Count=  1809 OER=  1.5129 Cont= 45.93% Fail= 47.73%
 10. D->N->N->N                         Len=4 Count=  1487 OER=  1.2436 Cont= 49.09% Fail= 46.01%
 11. C->N->N                            Len=3 Count=  1447 OER=  0.8197 Cont= 46.10% Fail= 49.11%
 12. N->C->N                            Len=3 Count=  1314 OER=  0.7444 Cont= 46.24% Fail= 49.28%
 13. N->N->N->D->N                      Len=5 Count=  1304 OER=  1.9173 Cont= 46.97% Fail= 47.61%
 14. N->N->D->N->N                      Len=5 Count=  1278 OER=  1.8790 Cont= 45.23% Fail= 50.19%
 15. N->N->C                            Len=3 Count=  1257 OER=  0.7121 Cont= 45.48% Fail= 49.27%
 16. N->D->N->N->N                      Len=5 Count=  1168 OER=  1.7173 Cont= 48.78% Fail= 46.24%
 17. D->N->D                            Len=3 Count=  1096 OER=  1.6096 Cont= 43.56% Fail= 51.71%
 18. N->N->N->N->D                      Len=5 Count=  1024 OER=  1.5056 Cont= 45.68% Fail= 47.67%
 19. N->D->N->D                         Len=4 Count=   856 OER=  2.2100 Cont= 43.03% Fail= 52.25%
 20. D->N->N->N->N                      Len=5 Count=   849 OER=  1.2483 Cont= 44.25% Fail= 49.93%
 21. B->N->N                            Len=3 Count=   810 OER=  0.8157 Cont= 46.21% Fail= 48.38%
 22. D->N->D->N                         Len=4 Count=   775 OER=  2.0009 Cont= 44.97% Fail= 48.32%
 23. C->N->N->N                         Len=4 Count=   770 OER=  0.7668 Cont= 52.16% Fail= 42.90%
 24. N->C->N->N                         Len=4 Count=   730 OER=  0.7270 Cont= 47.00% Fail= 49.27%
 25. D->N->N->D                         Len=4 Count=   714 OER=  1.8434 Cont= 48.64% Fail= 46.21%

Section 4 - Most Overrepresented Paths
......................................
  1. C->C->B->C->C                      Len=5 Count=    30 OER= 17.0532 Cont= 46.67% Fail= 53.33%
  2. C->C->C->C->B                      Len=5 Count=    24 OER= 13.6425 Cont= 42.86% Fail= 57.14%
  3. C->B->C->C->C                      Len=5 Count=    23 OER= 13.0741 Cont= 54.55% Fail= 40.91%
  4. C->C->C->B->C                      Len=5 Count=    22 OER= 12.5057 Cont= 40.91% Fail= 59.09%
  5. C->C->C->C->C                      Len=5 Count=    31 OER=  9.9122 Cont= 48.39% Fail= 45.16%
  6. C->B->B->B                         Len=4 Count=    32 OER=  8.8955 Cont= 42.86% Fail= 53.57%
  7. C->B->C->B                         Len=4 Count=    55 OER=  8.6001 Cont= 54.17% Fail= 43.75%
  8. C->C->B->B                         Len=4 Count=    54 OER=  8.4437 Cont= 47.83% Fail= 52.17%
  9. C->C->B->C                         Len=4 Count=    86 OER=  7.5642 Cont= 34.12% Fail= 65.88%
 10. C->B->B->C                         Len=4 Count=    48 OER=  7.5056 Cont= 41.67% Fail= 58.33%
 11. C->C->C->B                         Len=4 Count=    84 OER=  7.3883 Cont= 43.24% Fail= 55.41%
 12. B->C->B->B                         Len=4 Count=    26 OER=  7.2276 Cont= 38.10% Fail= 57.14%
 13. C->B->C->C                         Len=4 Count=    80 OER=  7.0365 Cont= 48.75% Fail= 50.00%
 14. B->C->C->B                         Len=4 Count=    44 OER=  6.8801 Cont= 41.03% Fail= 56.41%
 15. N->C->B->C->B                      Len=5 Count=    24 OER=  6.5975 Cont= 71.43% Fail= 28.57%
 16. C->B->C->B->N                      Len=5 Count=    24 OER=  6.5975 Cont= 33.33% Fail= 61.11%
 17. C->C->C->B->N                      Len=5 Count=    41 OER=  6.3398 Cont= 47.06% Fail= 50.00%
 18. C->B->B->C->N                      Len=5 Count=    23 OER=  6.3226 Cont= 38.89% Fail= 50.00%
 19. B->B->C->B                         Len=4 Count=    22 OER=  6.1156 Cont= 42.11% Fail= 57.89%
 20. N->C->C->B->B                      Len=5 Count=    22 OER=  6.0477 Cont= 52.63% Fail= 47.37%
 21. C->B->C->C->N                      Len=5 Count=    38 OER=  5.8759 Cont= 54.05% Fail= 43.24%
 22. B->C->B->C                         Len=4 Count=    37 OER=  5.7855 Cont= 56.76% Fail= 37.84%
 23. N->C->C->B->C                      Len=5 Count=    37 OER=  5.7213 Cont= 27.78% Fail= 72.22%
 24. B->B->C->C                         Len=4 Count=    36 OER=  5.6292 Cont= 47.22% Fail= 44.44%
 25. B->N->C->C->B                      Len=5 Count=    20 OER=  5.4979 Cont= 38.89% Fail= 61.11%

Section 5 - Highest Continuation Paths
......................................
  1. C->D->B->N                         Len=4 Count=    20 OER=  0.4018 Cont= 88.24% Fail= 11.76%
  2. C->N->B->N->D                      Len=5 Count=    23 OER=  0.8124 Cont= 73.91% Fail= 17.39%
  3. C->A->N->N                         Len=4 Count=    23 OER=  2.5382 Cont= 72.22% Fail= 27.78%
  4. N->D->C->D->N                      Len=5 Count=    23 OER=  0.3838 Cont= 71.43% Fail= 19.05%
  5. N->C->B->C->B                      Len=5 Count=    24 OER=  6.5975 Cont= 71.43% Fail= 28.57%
  6. A->N->N->N->N                      Len=5 Count=    26 OER=  1.3722 Cont= 69.57% Fail= 26.09%
  7. C->C->B->C->N                      Len=5 Count=    31 OER=  4.7935 Cont= 67.86% Fail= 32.14%
  8. N->C->N->D->B                      Len=5 Count=    24 OER=  0.8478 Cont= 66.67% Fail= 28.57%
  9. B->D->D->N                         Len=4 Count=    23 OER=  0.3881 Cont= 66.67% Fail= 28.57%
 10. B->C->D->N                         Len=4 Count=    21 OER=  0.4219 Cont= 66.67% Fail= 27.78%
 11. C->N->D->C->N                      Len=5 Count=    39 OER=  0.7749 Cont= 62.86% Fail= 37.14%
 12. D->C->D->N                         Len=4 Count=    35 OER=  0.3322 Cont= 62.50% Fail= 31.25%
 13. D->N->A                            Len=3 Count=    21 OER=  1.1070 Cont= 61.90% Fail= 33.33%
 14. N->C->C->N->D                      Len=5 Count=    54 OER=  1.0729 Cont= 61.54% Fail= 38.46%
 15. C->N->D->B                         Len=4 Count=    44 OER=  0.8841 Cont= 61.54% Fail= 35.90%
 16. B->D->N->N->N                      Len=5 Count=    72 OER=  0.6918 Cont= 61.02% Fail= 30.51%
 17. N->D->D->C                         Len=4 Count=    65 OER=  0.6169 Cont= 60.94% Fail= 32.81%
 18. C->C->B->N->D                      Len=5 Count=    23 OER=  2.9866 Cont= 60.87% Fail= 34.78%
 19. N->N->D->D->C                      Len=5 Count=    43 OER=  0.7175 Cont= 60.47% Fail= 32.56%
 20. N->N->A                            Len=3 Count=    40 OER=  0.6830 Cont= 60.00% Fail= 40.00%
 21. N->D->N->B->C                      Len=5 Count=    25 OER=  0.8831 Cont= 60.00% Fail= 40.00%
 22. C->N->N->D->D                      Len=5 Count=    40 OER=  0.6674 Cont= 60.00% Fail= 40.00%
 23. C->B->C->N->D                      Len=5 Count=    20 OER=  2.5971 Cont= 60.00% Fail= 30.00%
 24. B->N->N->N->B                      Len=5 Count=    25 OER=  0.5085 Cont= 60.00% Fail= 35.00%
 25. A->N->D                            Len=3 Count=    20 OER=  1.0543 Cont= 60.00% Fail= 35.00%

Section 6 - Highest Failure Paths
.................................
  1. C->C->B->D                         Len=4 Count=    27 OER=  1.9943 Cont= 18.52% Fail= 77.78%
  2. D->C->B->D                         Len=4 Count=    20 OER=  1.2406 Cont= 20.00% Fail= 75.00%
  3. N->C->C->B->C                      Len=5 Count=    37 OER=  5.7213 Cont= 27.78% Fail= 72.22%
  4. N->N->D->D->B                      Len=5 Count=    27 OER=  0.8009 Cont= 23.81% Fail= 71.43%
  5. C->C->C->N->D                      Len=5 Count=    21 OER=  1.5339 Cont= 23.81% Fail= 71.43%
  6. B->C->C->C->N                      Len=5 Count=    22 OER=  3.4019 Cont= 23.53% Fail= 70.59%
  7. C->D->N->D->N                      Len=5 Count=    32 OER=  0.5339 Cont= 25.93% Fail= 70.37%
  8. D->C->N->B->N                      Len=5 Count=    21 OER=  0.7418 Cont= 31.25% Fail= 68.75%
  9. N->N->A->N                         Len=4 Count=    23 OER=  0.6905 Cont= 26.32% Fail= 68.42%
 10. N->B->B->B                         Len=4 Count=    26 OER=  1.9661 Cont= 27.27% Fail= 68.18%
 11. N->C->B->D->N                      Len=5 Count=    29 OER=  1.0244 Cont= 33.33% Fail= 66.67%
 12. B->B->N->C                         Len=4 Count=    38 OER=  1.6163 Cont= 33.33% Fail= 66.67%
