APVA Loop Closure Study v0.1 - Aggregate
================================================================================================
Instrument: Aggregate
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv, .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv, .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Loop candidates: 2342

1. Loop Inventory
Instrument | CompleteLoopCount | IncompleteNoExcursionCount | IncompleteNoReturnCount | CompletionRate | MeanLoopDuration | MedianLoopDuration | MaxLoopDuration
6E | 2052 | 4 | 5 | 99.56% | 10.8762 | 9.0000 | 50
CL | 166 | 1 | 0 | 99.40% | 9.6747 | 8.0000 | 37
NQ | 113 | 1 | 0 | 99.12% | 11.1504 | 10.0000 | 30
Aggregate | 2331 | 6 | 5 | 99.53% | 10.8039 | 9.0000 | 50

2. Phase Duration Table
LoopPhase | MeanDuration | MedianDuration | MaxDuration | PercentOfLoop
CompressionProcessing -> ExhaustionPersistence | 15 | 0.64% | 2 | 3.6667
MixedStructure -> ReassertionProcessing | 14 | 0.60% | 2 | 2.0000
MixedStructure -> DecayToNeutral -> MixedStructure -> DecayToNeutral | 13 | 0.56% | 3 | 4.3846
ConstructiveEmergence | 12 | 0.51% | 3 | 1.0000
ReassertionProcessing -> DestructiveRotation -> DecayToNeutral | 12 | 0.51% | 3 | 3.9167
DestructiveRotation | 12 | 0.51% | 3 | 1.0833
ReassertionProcessing -> MixedStructure -> DecayToNeutral | 12 | 0.51% | 3 | 3.7500
MixedStructure -> ExhaustionPersistence -> RecoveryResolution -> CompressionProcessing | 12 | 0.51% | 2 | 7.9167
CompressionProcessing -> MixedStructure | 11 | 0.47% | 2 | 2.0000
CompressionProcessing -> ExhaustionPersistence -> CompressionProcessing | 11 | 0.47% | 1 | 5.5455
RecoveryResolution -> CompressionProcessing | 11 | 0.47% | 1 | 3.8182
CompressionProcessing -> ExhaustionPersistence -> RecoveryResolution -> CompressionProcessing | 10 | 0.43% | 2 | 9.2000
MixedStructure -> ExhaustionPersistence -> RecoveryResolution | 10 | 0.43% | 2 | 5.2000
CompressionProcessing -> RecoveryResolution | 10 | 0.43% | 2 | 2.0000
CompressionProcessing -> ExhaustionPersistence -> RecoveryResolution | 8 | 0.34% | 2 | 6.6250
MixedStructure -> DestructiveRotation | 7 | 0.30% | 2 | 2.0000
MixedStructure -> RecoveryResolution -> CompressionProcessing -> ExhaustionPersistence -> CompressionProcessing | 7 | 0.30% | 1 | 9.4286
ReassertionProcessing -> MixedStructure -> RecoveryResolution -> CompressionProcessing | 7 | 0.30% | 1 | 4.7143
ReassertionProcessing -> MixedStructure -> ReassertionProcessing -> MixedStructure | 7 | 0.30% | 2 | 4.0000
ExhaustionPersistence -> RecoveryResolution -> CompressionProcessing | 7 | 0.30% | 2 | 6.2857
MixedStructure -> ExhaustionPersistence -> DestructiveRotation -> DecayToNeutral | 6 | 0.26% | 2 | 5.6667
ExhaustionPersistence -> RecoveryResolution | 6 | 0.26% | 2 | 3.5000
ConstructiveEmergence -> MixedStructure | 6 | 0.26% | 2 | 2.6667
ReassertionProcessing -> MixedStructure -> ExhaustionPersistence -> DecayToNeutral | 5 | 0.21% | 1 | 4.8000
CompressionProcessing -> ReassertionProcessing | 4 | 0.17% | 1 | 2.0000
MixedStructure -> RecoveryResolution -> CompressionProcessing -> RecoveryResolution -> CompressionProcessing | 4 | 0.17% | 2 | 6.2500
CompressionProcessing -> ExhaustionPersistence -> CompressionProcessing -> DecayToNeutral | 4 | 0.17% | 1 | 5.5000
ExhaustionPersistence -> DecayToNeutral | 4 | 0.17% | 2 | 5.7500
MixedStructure -> DecayToNeutral -> CompressionProcessing | 4 | 0.17% | 1 | 5.2500
ReassertionProcessing -> MixedStructure -> CompressionProcessing | 4 | 0.17% | 1 | 4.0000
ReassertionProcessing -> DestructiveRotation -> ReassertionProcessing -> DestructiveRotation | 4 | 0.17% | 1 | 5.7500
RecoveryResolution -> CompressionProcessing -> RecoveryResolution -> CompressionProcessing | 4 | 0.17% | 1 | 4.7500
