APVA Loop Closure Study v0.1 - CL
================================================================================================
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Loop candidates: 167

1. Loop Inventory
Instrument | CompleteLoopCount | IncompleteNoExcursionCount | IncompleteNoReturnCount | CompletionRate | MeanLoopDuration | MedianLoopDuration | MaxLoopDuration
CL | 166 | 1 | 0 | 99.40% | 9.6747 | 8.0000 | 37
Aggregate | 166 | 1 | 0 | 99.40% | 9.6747 | 8.0000 | 37

2. Phase Duration Table
LoopPhase | MeanDuration | MedianDuration | MaxDuration | PercentOfLoop
MixedStructure -> ExhaustionPersistence -> RecoveryResolution -> CompressionProcessing | 1 | 0.60% | 1 | 7.0000

8. Return Family Table
ReturnFamily | Count | Probability | TopDestinationFamily | TopExcursionSequence
MixedStructure | 50 | 30.12% | MixedStructure | MixedStructure
CompressionProcessing | 43 | 25.90% | CompressionProcessing | CompressionProcessing
ReassertionProcessing | 37 | 22.29% | ReassertionProcessing | ReassertionProcessing
DecayToNeutral | 13 | 7.83% | MixedStructure | MixedStructure -> DecayToNeutral -> MixedStructure -> DecayToNeutral
RecoveryResolution | 9 | 5.42% | MixedStructure | MixedStructure -> RecoveryResolution
ExhaustionPersistence | 8 | 4.82% | CompressionProcessing | ExhaustionPersistence
DestructiveRotation | 4 | 2.41% | ReassertionProcessing | ReassertionProcessing -> DestructiveRotation
ConstructiveEmergence | 2 | 1.20% | ReassertionProcessing | ReassertionProcessing -> ConstructiveEmergence

9. Loop Market Signature Table
LoopPhase | RangeRelativeToPrevious | TrueRangeRelativeToPrevious | BodyRelativeToPrevious | VolumeRelativeToRollingMean | VolumeRelativeToPrevious | EfficiencyRatio | CloseLocation
FormationPhase | 0.8268 | 0.8245 | 1.0933 | 0.7832 | 0.8577 | 0.3745 | 0.5148
LifecyclePhase | 1.0484 | 1.0484 | 1.7739 | 0.6991 | 1.0458 | 0.3103 | 0.5083
LateNeutralPhase | 0.9834 | 0.9834 | 2.6889 | 0.8024 | 1.0152 | 0.3886 | 0.4872
FailurePhase | 1.0555 | 1.0549 | 1.9064 | 0.7461 | 1.0291 | 0.3827 | 0.5117
DestinationPhase | 1.6846 | 1.6854 | 4.6117 | 1.2443 | 1.7022 | 0.5808 | 0.5295
ExcursionPhase | 1.2803 | 1.2812 | 2.7465 | 1.4418 | 1.3489 | 0.5128 | 0.5293
ReturnPhase | 0.8739 | 0.8732 | 1.0890 | 0.9703 | 0.8829 | 0.4757 | 0.5203
NextFormationPhase | 0.7526 | 0.7529 | 1.0445 | 0.7903 | 0.8667 | 0.3832 | 0.4957

10. Loop Energy Curve Table
LoopPhase | RangeEnergy | VolumeEnergy | EfficiencyEnergy
FormationPhase | 0.8268 | 0.7832 | 0.3745
LifecyclePhase | 1.0484 | 0.6991 | 0.3103
LateNeutralPhase | 0.9834 | 0.8024 | 0.3886
FailurePhase | 1.0555 | 0.7461 | 0.3827
DestinationPhase | 1.6846 | 1.2443 | 0.5808
ExcursionPhase | 1.2803 | 1.4418 | 0.5128
ReturnPhase | 0.8739 | 0.9703 | 0.4757
NextFormationPhase | 0.7526 | 0.7903 | 0.3832

11. Loop Duration Class Table
DurationClass | Count | Probability | TopDestination | TopReturnFamily | MeanDuration
ShortLoop | 57 | 34.34% | MixedStructure | MixedStructure | 3.6842
NormalLoop | 80 | 48.19% | MixedStructure | CompressionProcessing | 9.7000
LongLoop | 29 | 17.47% | MixedStructure | CompressionProcessing | 21.3793

12. Loop Stability Table
PathEntropy | DestinationEntropy | ReturnEntropy | DurationVariance | LoopStabilityClass
0.8570 | 0.6745 | 0.8140 | 46.6050 | DiffuseClosedLoop

13. Loop Failure Point Table
FailureType | Count | LastObservedState | MaxNeutralAgeReached | MarketProfileSummary
IncompleteNoExcursion | 1 | NeutralProcessing | 1 | Range/Volume/Eff mean=0.7011
IncompleteNoReturn | 0 | N/A | N/A | Range/Volume/Eff mean=0.0000

14. Cross-Instrument Replication Table
Instrument | CompletionRate | TopCanonicalPath | TopDestination | TopReturnFamily | MeanDuration | LoopStabilityClass

15. Minimal Loop State Machine Table
FromPhase | ToPhase | Count | Probability | ReplicationCount
NeutralFailure | DestinationSelection | 166 | 100.00% | 1
Excursion | LateNeutral | 113 | 71.07% | 1
DestinationSelection | NeutralFormation | 87 | 52.41% | 1
ReturnToNeutral | NeutralFormation | 79 | 100.00% | 1
LateNeutral | NeutralFailure | 78 | 49.37% | 1
NeutralFormation | Excursion | 72 | 43.37% | 1
NeutralFormation | NeutralMaturation | 47 | 28.31% | 1
