APVA Interpretation Arbitration Study v0.1
Research only. No optimization, fitting, machine learning, trading rules, or future leakage.

Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
State counts: RecoveryResolution=160, ExhaustionPersistence=176, CompressionProcessing=350, NeutralProcessing=1278, ReassertionProcessing=207, DecayToNeutral=103, DestructiveRotation=84, ConstructiveEmergence=12, MixedStructure=314
Age counts: 1=1453, 2=486, 3=236, 4=147, 5=115, 6-10=217, 11-20=30, 21+=0
Validated context counts: B=20, C=26, D=15
Candidate interpretation counts: ValidatedContext=61, PreviousDistinctContext=2680, CurrentStateAge=2684

1. Reliability tables
InterpretationType | InterpretationKey | Count | PersistenceRate_t1 | ExitRate_t1 | Entropy_t1 | NormalizedEntropy_t1 | DominantDestination | DominantProbability_t1 | ReliabilityScore
PreviousDistinctContext | ExhaustionPersistence->NeutralProcessing+Age2 | 16 | 56.25% | 43.75% | 0.9841 | 0.8958 | NeutralProcessing | 56.25% | 0.2292
PreviousDistinctContext | ExhaustionPersistence->NeutralProcessing+Age3 | 9 | 88.89% | 11.11% | 0.3488 | 0.5033 | NeutralProcessing | 88.89% | 0.0000
PreviousDistinctContext | ExhaustionPersistence->NeutralProcessing+Age4 | 8 | 75.00% | 25.00% | 0.7356 | 0.6696 | NeutralProcessing | 75.00% | 0.0000
PreviousDistinctContext | ExhaustionPersistence->NeutralProcessing+Age5 | 6 | 66.67% | 33.33% | 0.8676 | 0.7897 | NeutralProcessing | 66.67% | 0.0000
PreviousDistinctContext | ExhaustionPersistence->NeutralProcessing+Age6-10 | 16 | 81.25% | 18.75% | 0.6886 | 0.4967 | NeutralProcessing | 81.25% | 1.1283
PreviousDistinctContext | ExhaustionPersistence->RecoveryResolution+Age1 | 39 | 97.44% | 2.56% | 0.1192 | 0.1720 | RecoveryResolution | 97.44% | 1.7767
PreviousDistinctContext | ExhaustionPersistence->RecoveryResolution+Age2 | 38 | 71.05% | 28.95% | 0.6017 | 0.8680 | RecoveryResolution | 71.05% | 0.5530
PreviousDistinctContext | ExhaustionPersistence->RecoveryResolution+Age3 | 27 | 3.70% | 96.30% | 1.0085 | 0.7275 | CompressionProcessing | 62.96% | -0.0608
PreviousDistinctContext | ExhaustionPersistence->RecoveryResolution+Age4 | 1 | 0.00% | 100.00% | -0.0000 | 0.0000 | CompressionProcessing | 100.00% | 0.0000
PreviousDistinctContext | MixedStructure->CompressionProcessing+Age1 | 6 | 83.33% | 16.67% | 0.4506 | 0.6500 | CompressionProcessing | 83.33% | 0.0000
