APVA Minimal Engine Study v0.1
================================================================================
Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
State counts: RecoveryResolution=160, ExhaustionPersistence=176, CompressionProcessing=350, NeutralProcessing=1278, ReassertionProcessing=207, DecayToNeutral=103, DestructiveRotation=84, ConstructiveEmergence=12, MixedStructure=314
State-age key count: 35

1. Transition Hazard Table
State | AgeBucket | Horizon | Count | NextStateDistribution | PersistenceRate | ExitRate | Entropy | NormalizedEntropy | DominantDestination | DominantProbability
ExhaustionPersistence | 4 | t+5 | 16 | NeutralProcessing:37.50%, CompressionProcessing:18.75%, MixedStructure:18.75%, ExhaustionPersistence:12.50%, DecayToNeutral:6.25%, RecoveryResolution:6.25% | 12.50% | 87.50% | 1.6021 | 0.8941 | NeutralProcessing | 37.50%
ExhaustionPersistence | 5 | t+1 | 8 | NeutralProcessing:37.50%, DecayToNeutral:25.00%, CompressionProcessing:12.50%, DestructiveRotation:12.50%, ExhaustionPersistence:12.50% | 12.50% | 87.50% | 1.4942 | 0.9284 | NeutralProcessing | 37.50%
ExhaustionPersistence | 5 | t+2 | 8 | NeutralProcessing:62.50%, DestructiveRotation:12.50%, ExhaustionPersistence:12.50%, MixedStructure:12.50% | 12.50% | 87.50% | 1.0735 | 0.7744 | NeutralProcessing | 62.50%
ExhaustionPersistence | 5 | t+3 | 8 | NeutralProcessing:37.50%, ExhaustionPersistence:25.00%, MixedStructure:25.00%, DestructiveRotation:12.50% | 25.00% | 75.00% | 1.3209 | 0.9528 | NeutralProcessing | 37.50%
ExhaustionPersistence | 5 | t+5 | 8 | NeutralProcessing:50.00%, RecoveryResolution:25.00%, ExhaustionPersistence:12.50%, MixedStructure:12.50% | 12.50% | 87.50% | 1.2130 | 0.8750 | NeutralProcessing | 50.00%
ExhaustionPersistence | 6-10 | t+1 | 3 | ExhaustionPersistence:66.67%, NeutralProcessing:33.33% | 66.67% | 33.33% | 0.6365 | 0.9183 | ExhaustionPersistence | 66.67%
ExhaustionPersistence | 6-10 | t+2 | 3 | ExhaustionPersistence:33.33%, MixedStructure:33.33%, NeutralProcessing:33.33% | 33.33% | 66.67% | 1.0986 | 1.0000 | ExhaustionPersistence | 33.33%
ExhaustionPersistence | 6-10 | t+3 | 3 | MixedStructure:66.67%, NeutralProcessing:33.33% | 0.00% | 100.00% | 0.6365 | 0.9183 | MixedStructure | 66.67%
ExhaustionPersistence | 6-10 | t+5 | 3 | NeutralProcessing:66.67%, MixedStructure:33.33% | 0.00% | 100.00% | 0.6365 | 0.9183 | NeutralProcessing | 66.67%
MixedStructure | 1 | t+1 | 279 | NeutralProcessing:41.22%, DecayToNeutral:15.77%, ExhaustionPersistence:13.98%, MixedStructure:10.04%, RecoveryResolution:8.96%, ReassertionProcessing:6.09%, CompressionProcessing:1.79%, ConstructiveEmergence:1.08%, DestructiveRotation:1.08% | 10.04% | 89.96% | 1.7186 | 0.7822 | NeutralProcessing | 41.22%
