APVA Node Flow Study v0.1
========================================================================================================
Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
Node count: 35
Category count: 4

1. Node Category Assignment
StateAgeNode | NodeCategory | ImportanceScore | ReliabilityScore
5 | Secondary -> Weak -> Core -> Secondary -> Secondary | 20 | 0.75%
5 | Weak -> Secondary -> Core -> Secondary -> Core | 20 | 0.75%
5 | Weak -> Secondary -> Insufficient -> Insufficient -> Weak | 20 | 0.75%
5 | Insufficient -> Core -> Secondary -> Core -> Core | 19 | 0.71%
5 | Secondary -> Secondary -> Weak -> Secondary -> Insufficient | 19 | 0.71%
5 | Secondary -> Core -> Secondary -> Weak -> Core | 17 | 0.63%
5 | Secondary -> Secondary -> Secondary -> Secondary -> Core | 17 | 0.63%
5 | Secondary -> Secondary -> Weak -> Core -> Secondary | 16 | 0.60%
5 | Core -> Secondary -> Secondary -> Secondary -> Core | 15 | 0.56%
5 | Secondary -> Core -> Secondary -> Weak -> Secondary | 15 | 0.56%
5 | Secondary -> Weak -> Secondary -> Core -> Secondary | 15 | 0.56%
5 | Core -> Secondary -> Secondary -> Secondary -> Weak | 14 | 0.52%
5 | Insufficient -> Weak -> Core -> Secondary -> Core | 14 | 0.52%
5 | Secondary -> Insufficient -> Core -> Secondary -> Core | 14 | 0.52%
5 | Secondary -> Insufficient -> Insufficient -> Weak -> Secondary | 14 | 0.52%
5 | Secondary -> Weak -> Secondary -> Insufficient -> Core | 14 | 0.52%
5 | Weak -> Secondary -> Insufficient -> Core -> Secondary | 14 | 0.52%
5 | Secondary -> Core -> Secondary -> Secondary -> Insufficient | 13 | 0.49%
5 | Secondary -> Insufficient -> Weak -> Core -> Secondary | 13 | 0.49%
5 | Secondary -> Secondary -> Secondary -> Insufficient -> Weak | 13 | 0.49%
5 | Secondary -> Secondary -> Secondary -> Weak -> Core | 13 | 0.49%
5 | Core -> Secondary -> Weak -> Secondary -> Insufficient | 12 | 0.45%
5 | Secondary -> Insufficient -> Core -> Secondary -> Weak | 12 | 0.45%
