APVA Memory Dynamics Study v0.1
============================================================================================================
Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
Node count: 35

1. Memory Stream Reconstruction
Bar | StateAgeNode | NodeCategory | MemoryStrength | HalfLife | EntropyGrowth | ForecastConfidence
234 | DecayToNeutral_Age1 | Weak Node | 0.1769 | 2.00 | 1.8881 | 0.3592
235 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 1.6396 | 0.4202
236 | DestructiveRotation_Age1 | Weak Node | 0.1768 | 3.00 | 1.2713 | 0.0704
237 | DestructiveRotation_Age2 | Insufficient Node | 0.2315 | 2.00 | 1.2700 | 0.0833
238 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 1.6396 | 0.4202
239 | NeutralProcessing_Age2 | Secondary Node | 0.2734 | 5.00 | 1.6917 | 0.3399
240 | ReassertionProcessing_Age1 | Secondary Node | 0.1925 | 3.00 | 1.5318 | 0.0460
241 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 1.6396 | 0.4202
242 | NeutralProcessing_Age2 | Secondary Node | 0.2734 | 5.00 | 1.6917 | 0.3399
243 | NeutralProcessing_Age3 | Core Node | 0.3509 | 5.00 | 2.1063 | 0.6500
244 | NeutralProcessing_Age4 | Core Node | 0.3265 | 5.00 | 2.4430 | 0.8585
245 | NeutralProcessing_Age5 | Secondary Node | 0.3357 | 3.00 | 2.1524 | 0.6842
246 | NeutralProcessing_Age6-10 | Secondary Node | 0.2169 | 3.00 | 1.7158 | 0.4904
247 | NeutralProcessing_Age6-10 | Secondary Node | 0.2169 | 3.00 | 1.7158 | 0.4904
248 | NeutralProcessing_Age6-10 | Secondary Node | 0.2169 | 3.00 | 1.7158 | 0.4904
249 | NeutralProcessing_Age6-10 | Secondary Node | 0.2169 | 3.00 | 1.7158 | 0.4904
250 | NeutralProcessing_Age6-10 | Secondary Node | 0.2169 | 3.00 | 1.7158 | 0.4904
251 | NeutralProcessing_Age11-20 | Insufficient Node | 0.1926 | 3.00 | 1.7961 | 0.5000
252 | ExhaustionPersistence_Age1 | Weak Node | 0.1833 | 3.00 | 1.3577 | 0.0206
253 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 1.6396 | 0.4202
254 | NeutralProcessing_Age2 | Secondary Node | 0.2734 | 5.00 | 1.6917 | 0.3399
255 | DestructiveRotation_Age1 | Weak Node | 0.1768 | 3.00 | 1.2713 | 0.0704
256 | RecoveryResolution_Age1 | Secondary Node | 0.2234 | 5.00 | 1.9470 | 0.0851
257 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 1.6396 | 0.4202
258 | NeutralProcessing_Age2 | Secondary Node | 0.2734 | 5.00 | 1.6917 | 0.3399
