APVA Context Disambiguation Study v0.1
Frozen candidate validation. Research only. No trades, optimization, fitting, machine learning, or parameter search.

Diagnostics
Instrument: NQ
Input path(s): .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Total rows: 1930
State counts: RecoveryResolution=68, ExhaustionPersistence=107, CompressionProcessing=205, NeutralProcessing=976, ReassertionProcessing=179, DecayToNeutral=86, DestructiveRotation=79, ConstructiveEmergence=14, MixedStructure=216
Age counts: 1=976, 2=327, 3=175, 4=114, 5=94, 6-10=207, 11-20=37, 21+=0
Distinct context count: 156

1. Candidate summary
Candidate | Description | Count | DirectionAgreement
A | NeutralProcessing -> CompressionProcessing Age 3 | 9 | Negative
B | RecoveryResolution -> CompressionProcessing Age 3 | 11 | Negative
C | RecoveryResolution -> NeutralProcessing Age 1 | 13 | Positive
D | DecayToNeutral -> NeutralProcessing Age 4 | 23 | Positive
E | Baseline CompressionProcessing Age 3 | 30 | Positive
F | Baseline NeutralProcessing Age 1 | 297 | Positive
G | Baseline NeutralProcessing Age 4 | 82 | Negative

2. Outcome validation
Candidate | Count | MeanDRFwd5 | MedianDRFwd5 | ContinuationRate5 | FailureRate5 | FlatRate5 | OutcomeSkew | StdDevDRFwd5 | MaxFavorableDRFwd5 | MaxAdverseDRFwd5
F | t+1 | ConstructiveEmergence | 4 | 1.35% | 1.8557 | 1.2465 | 0.6957 | NeutralProcessing | 58.92%
F | t+2 | NeutralProcessing | 145 | 48.82% | 0.9644 | 1.5758 | 0.7172 | NeutralProcessing | 48.82%
F | t+2 | MixedStructure | 54 | 18.18% | 1.6381 | 1.5758 | 0.7172 | NeutralProcessing | 48.82%
F | t+2 | ReassertionProcessing | 37 | 12.46% | 1.3418 | 1.5758 | 0.7172 | NeutralProcessing | 48.82%
F | t+2 | CompressionProcessing | 22 | 7.41% | 0.6967 | 1.5758 | 0.7172 | NeutralProcessing | 48.82%
F | t+2 | DecayToNeutral | 14 | 4.71% | 1.0568 | 1.5758 | 0.7172 | NeutralProcessing | 48.82%
F | t+2 | ExhaustionPersistence | 9 | 3.03% | 0.5460 | 1.5758 | 0.7172 | NeutralProcessing | 48.82%
F | t+2 | DestructiveRotation | 7 | 2.36% | 0.5752 | 1.5758 | 0.7172 | NeutralProcessing | 48.82%
F | t+2 | RecoveryResolution | 6 | 2.02% | 0.5728 | 1.5758 | 0.7172 | NeutralProcessing | 48.82%
F | t+2 | ConstructiveEmergence | 3 | 1.01% | 1.3911 | 1.5758 | 0.7172 | NeutralProcessing | 48.82%
F | t+3 | NeutralProcessing | 182 | 61.28% | 1.2099 | 1.3235 | 0.6365 | NeutralProcessing | 61.28%
F | t+3 | ReassertionProcessing | 36 | 12.12% | 1.3049 | 1.3235 | 0.6365 | NeutralProcessing | 61.28%
F | t+3 | MixedStructure | 28 | 9.43% | 0.8529 | 1.3235 | 0.6365 | NeutralProcessing | 61.28%
F | t+3 | CompressionProcessing | 20 | 6.73% | 0.6330 | 1.3235 | 0.6365 | NeutralProcessing | 61.28%
F | t+3 | ExhaustionPersistence | 15 | 5.05% | 0.9096 | 1.3235 | 0.6365 | NeutralProcessing | 61.28%
F | t+3 | DestructiveRotation | 8 | 2.69% | 0.6570 | 1.3235 | 0.6365 | NeutralProcessing | 61.28%
F | t+3 | RecoveryResolution | 5 | 1.68% | 0.4771 | 1.3235 | 0.6365 | NeutralProcessing | 61.28%
F | t+3 | DecayToNeutral | 3 | 1.01% | 0.2263 | 1.3235 | 0.6365 | NeutralProcessing | 61.28%
F | t+5 | NeutralProcessing | 161 | 54.21% | 1.0703 | 1.5446 | 0.7030 | NeutralProcessing | 54.21%
F | t+5 | MixedStructure | 35 | 11.78% | 1.0701 | 1.5446 | 0.7030 | NeutralProcessing | 54.21%
F | t+5 | ReassertionProcessing | 31 | 10.44% | 1.1225 | 1.5446 | 0.7030 | NeutralProcessing | 54.21%
F | t+5 | CompressionProcessing | 21 | 7.07% | 0.6640 | 1.5446 | 0.7030 | NeutralProcessing | 54.21%
F | t+5 | DestructiveRotation | 13 | 4.38% | 1.0666 | 1.5446 | 0.7030 | NeutralProcessing | 54.21%
F | t+5 | RecoveryResolution | 12 | 4.04% | 1.1438 | 1.5446 | 0.7030 | NeutralProcessing | 54.21%
F | t+5 | ExhaustionPersistence | 12 | 4.04% | 0.7269 | 1.5446 | 0.7030 | NeutralProcessing | 54.21%
F | t+5 | DecayToNeutral | 11 | 3.70% | 0.8290 | 1.5446 | 0.7030 | NeutralProcessing | 54.21%
F | t+5 | ConstructiveEmergence | 1 | 0.34% | 0.4630 | 1.5446 | 0.7030 | NeutralProcessing | 54.21%
G | t+1 | NeutralProcessing | 80 | 96.39% | 1.9050 | 0.1952 | 0.1408 | NeutralProcessing | 96.39%
G | t+1 | ReassertionProcessing | 1 | 1.20% | 0.1298 | 0.1952 | 0.1408 | NeutralProcessing | 96.39%
G | t+1 | ConstructiveEmergence | 1 | 1.20% | 1.6601 | 0.1952 | 0.1408 | NeutralProcessing | 96.39%
G | t+1 | ExhaustionPersistence | 1 | 1.20% | 0.2172 | 0.1952 | 0.1408 | NeutralProcessing | 96.39%
G | t+2 | NeutralProcessing | 71 | 85.54% | 1.6898 | 0.5761 | 0.3580 | NeutralProcessing | 85.54%
G | t+2 | MixedStructure | 6 | 7.23% | 0.6513 | 0.5761 | 0.3580 | NeutralProcessing | 85.54%
G | t+2 | ReassertionProcessing | 4 | 4.82% | 0.5191 | 0.5761 | 0.3580 | NeutralProcessing | 85.54%
G | t+2 | CompressionProcessing | 1 | 1.20% | 0.1133 | 0.5761 | 0.3580 | NeutralProcessing | 85.54%
G | t+2 | ExhaustionPersistence | 1 | 1.20% | 0.2171 | 0.5761 | 0.3580 | NeutralProcessing | 85.54%
G | t+3 | NeutralProcessing | 52 | 62.65% | 1.2370 | 1.2064 | 0.5802 | NeutralProcessing | 62.65%
G | t+3 | MixedStructure | 13 | 15.66% | 1.4170 | 1.2064 | 0.5802 | NeutralProcessing | 62.65%
G | t+3 | ReassertionProcessing | 9 | 10.84% | 1.1673 | 1.2064 | 0.5802 | NeutralProcessing | 62.65%
G | t+3 | ExhaustionPersistence | 5 | 6.02% | 1.0849 | 1.2064 | 0.5802 | NeutralProcessing | 62.65%
G | t+3 | RecoveryResolution | 1 | 1.20% | 0.3414 | 1.2064 | 0.5802 | NeutralProcessing | 62.65%
G | t+3 | CompressionProcessing | 1 | 1.20% | 0.1133 | 1.2064 | 0.5802 | NeutralProcessing | 62.65%
G | t+3 | ConstructiveEmergence | 1 | 1.20% | 1.6583 | 1.2064 | 0.5802 | NeutralProcessing | 62.65%
G | t+3 | DecayToNeutral | 1 | 1.20% | 0.2700 | 1.2064 | 0.5802 | NeutralProcessing | 62.65%
G | t+5 | NeutralProcessing | 40 | 48.78% | 0.9631 | 1.5787 | 0.7592 | NeutralProcessing | 48.78%
G | t+5 | MixedStructure | 11 | 13.41% | 1.2181 | 1.5787 | 0.7592 | NeutralProcessing | 48.78%
G | t+5 | ReassertionProcessing | 10 | 12.20% | 1.3115 | 1.5787 | 0.7592 | NeutralProcessing | 48.78%
G | t+5 | CompressionProcessing | 8 | 9.76% | 0.9161 | 1.5787 | 0.7592 | NeutralProcessing | 48.78%
G | t+5 | ExhaustionPersistence | 7 | 8.54% | 1.5358 | 1.5787 | 0.7592 | NeutralProcessing | 48.78%
