APVA Loop Closure Study v0.1 - NQ
================================================================================================
Instrument: NQ
Input path(s): .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Loop candidates: 114

1. Loop Inventory
Instrument | CompleteLoopCount | IncompleteNoExcursionCount | IncompleteNoReturnCount | CompletionRate | MeanLoopDuration | MedianLoopDuration | MaxLoopDuration
NQ | 113 | 1 | 0 | 99.12% | 11.1504 | 10.0000 | 30
Aggregate | 113 | 1 | 0 | 99.12% | 11.1504 | 10.0000 | 30

2. Phase Duration Table
LoopPhase | MeanDuration | MedianDuration | MaxDuration | PercentOfLoop
ReassertionProcessing -> MixedStructure -> ExhaustionPersistence -> CompressionProcessing -> ExhaustionPersistence -> CompressionProcessing -> DecayToNeutral -> DestructiveRotation -> ExhaustionPersistence -> RecoveryResolution | 1 | 0.88% | 1 | 19.0000
CompressionProcessing -> MixedStructure -> RecoveryResolution -> CompressionProcessing | 1 | 0.88% | 1 | 10.0000

8. Return Family Table
ReturnFamily | Count | Probability | TopDestinationFamily | TopExcursionSequence
ReassertionProcessing | 32 | 28.32% | ReassertionProcessing | ReassertionProcessing
MixedStructure | 29 | 25.66% | MixedStructure | MixedStructure
CompressionProcessing | 17 | 15.04% | CompressionProcessing | CompressionProcessing
DecayToNeutral | 16 | 14.16% | MixedStructure | MixedStructure -> DecayToNeutral
RecoveryResolution | 7 | 6.19% | CompressionProcessing | CompressionProcessing -> RecoveryResolution
DestructiveRotation | 5 | 4.42% | ReassertionProcessing | ReassertionProcessing -> MixedStructure -> ReassertionProcessing -> DestructiveRotation
ExhaustionPersistence | 4 | 3.54% | MixedStructure | MixedStructure -> ExhaustionPersistence
ConstructiveEmergence | 3 | 2.65% | ConstructiveEmergence | ConstructiveEmergence

9. Loop Market Signature Table
LoopPhase | RangeRelativeToPrevious | TrueRangeRelativeToPrevious | BodyRelativeToPrevious | VolumeRelativeToRollingMean | VolumeRelativeToPrevious | EfficiencyRatio | CloseLocation
FormationPhase | 0.8424 | 0.8426 | 1.0615 | 0.7867 | 0.9533 | 0.4009 | 0.5365
LifecyclePhase | 1.0299 | 1.0299 | 2.0563 | 0.6521 | 1.0409 | 0.3468 | 0.5213
LateNeutralPhase | 1.0730 | 1.0730 | 3.3927 | 0.6449 | 1.0193 | 0.4096 | 0.5221
