APVA Destination Robustness Study v0.1 - NQ
================================================================================================
Instrument: NQ
Input path(s): .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Destination event count: 57

1. Baseline Signature Table
DestinationFamily | Signal | Horizon | EffectSize | ReplicationCount | Direction | Rank
MixedStructure | BodyRelativeToPrevious | t-3 | 0.4290 | 1 | Positive | 6
MixedStructure | VolumeRelativeToRollingMean | t-3 | 0.4155 | 1 | Positive | 7
MixedStructure | RangeRelativeToPrevious | t-1 | -0.4109 | 1 | Negative | 8
MixedStructure | TrueRangeRelativeToPrevious | t-1 | -0.4071 | 1 | Negative | 9
MixedStructure | VolumeRelativeToRollingMean | t-2 | 0.3933 | 1 | Positive | 10
MixedStructure | CloseLocation | t-2 | 0.3596 | 1 | Positive | 11
MixedStructure | BodyRelativeToPrevious | t-1 | -0.3320 | 1 | Negative | 12
MixedStructure | VolumeRelativeToSessionMean | t-2 | 0.3302 | 1 | Positive | 13
MixedStructure | RangeRelativeToPrevious | t-5 | 0.3276 | 1 | Positive | 14
MixedStructure | TrueRangeRelativeToPrevious | t-5 | 0.3276 | 1 | Positive | 15
MixedStructure | BodyRelativeToPrevious | t-5 | 0.3249 | 1 | Positive | 16
MixedStructure | VolumeRelativeToSessionMean | t-5 | 0.2363 | 0 | Positive | 17
MixedStructure | VolumeRelativeToPrevious | t-5 | 0.2352 | 0 | Positive | 18
MixedStructure | VolumeRelativeToRollingMean | t-1 | 0.2252 | 0 | Positive | 19
MixedStructure | VolumeRelativeToRollingMean | t-5 | 0.2191 | 0 | Positive | 20
MixedStructure | EfficiencyRatio | t-2 | 0.2119 | 0 | Positive | 21
MixedStructure | BodyRelativeToPrevious | t-2 | 0.1976 | 0 | Positive | 22
MixedStructure | VolumeRelativeToSessionMean | t-1 | 0.1577 | 0 | Positive | 23
MixedStructure | VolumeRelativeToSessionMean | t-3 | 0.1469 | 0 | Positive | 24
MixedStructure | CloseLocation | t-3 | -0.1340 | 0 | Negative | 25
MixedStructure | PolarityFlipFlag | t-1 | -0.1275 | 0 | Negative | 26
MixedStructure | BranchEntropy | t-3 | 0.0984 | 0 | Positive | 27
MixedStructure | BranchEntropy | t-5 | -0.0927 | 0 | Negative | 28
MixedStructure | MemoryStrength | t-3 | -0.0840 | 0 | Negative | 29
MixedStructure | CloseLocation | t-1 | 0.0729 | 0 | Positive | 30
MixedStructure | VolumeRelativeToPrevious | t-2 | 0.0458 | 0 | Positive | 31
MixedStructure | MemoryStrength | t-5 | -0.0453 | 0 | Negative | 32
MixedStructure | EfficiencyRatio | t-3 | -0.0433 | 0 | Negative | 33
MixedStructure | EfficiencyRatio | t-1 | -0.0404 | 0 | Negative | 34
MixedStructure | CloseLocation | t-5 | 0.0351 | 0 | Positive | 35
MixedStructure | PolarityFlipFlag | t-5 | 0.0268 | 0 | Positive | 36
MixedStructure | TrueRangeRelativeToPrevious | t-2 | -0.0167 | 0 | Negative | 37
MixedStructure | EfficiencyRatio | t-5 | -0.0165 | 0 | Negative | 38
MixedStructure | RangeRelativeToPrevious | t-2 | -0.0161 | 0 | Negative | 39
MixedStructure | VolumeRelativeToPrevious | t-1 | -0.0097 | 0 | Negative | 40
MixedStructure | BranchEntropy | t-2 | -0.0062 | 0 | Negative | 41
MixedStructure | MemoryStrength | t-2 | 0.0062 | 0 | Positive | 42
MixedStructure | MemoryStrength | t-1 | 0.0000 | 0 | Flat | 43
MixedStructure | BranchEntropy | t-1 | 0.0000 | 0 | Flat | 44
ReassertionProcessing | VolumeRelativeToRollingMean | t-1 | -1.0031 | 1 | Negative | 1
ReassertionProcessing | VolumeRelativeToSessionMean | t-1 | -0.9149 | 1 | Negative | 2
ReassertionProcessing | VolumeRelativeToPrevious | t-1 | -0.8017 | 1 | Negative | 3
ReassertionProcessing | TrueRangeRelativeToPrevious | t-1 | -0.7135 | 1 | Negative | 4
ReassertionProcessing | RangeRelativeToPrevious | t-1 | -0.7123 | 1 | Negative | 5
ReassertionProcessing | VolumeRelativeToRollingMean | t-2 | -0.5984 | 1 | Negative | 6
ReassertionProcessing | EfficiencyRatio | t-1 | -0.5776 | 1 | Negative | 7
ReassertionProcessing | VolumeRelativeToRollingMean | t-5 | -0.5552 | 1 | Negative | 8
ReassertionProcessing | BodyRelativeToPrevious | t-1 | -0.5090 | 1 | Negative | 9
ReassertionProcessing | VolumeRelativeToPrevious | t-5 | -0.4953 | 1 | Negative | 10
ReassertionProcessing | VolumeRelativeToSessionMean | t-2 | -0.4103 | 1 | Negative | 11
ReassertionProcessing | VolumeRelativeToRollingMean | t-3 | -0.3870 | 1 | Negative | 12
ReassertionProcessing | BodyRelativeToPrevious | t-2 | -0.3503 | 1 | Negative | 13
ReassertionProcessing | VolumeRelativeToSessionMean | t-5 | -0.3084 | 1 | Negative | 14
ReassertionProcessing | PolarityFlipFlag | t-3 | 0.3080 | 1 | Positive | 15
