Candidate,ValidationMode,AttributionScope,RegimeCode,RegimeYear,Count,Mean,Median,ProfitFactor,SumContribution,PositiveFraction,ContributionShareOfNet,AbsoluteContributionShare,ContributionRankBestToWorst,ContributionStatus,PassFailApplicability
CCRRR,Spacing_10,YearAggregate,2021,2021,6,-0.40109249368429295,0.0060287081339713,0.43311853705037123,-2.4065549621057576,0.5,-0.09860289925824989,0.05326645634064621,9,Negative,Descriptive contribution only
CCRRR,Spacing_10,YearAggregate,2017,2017,19,-0.18758195725671567,-0.3043478260869565,0.7057739339491907,-3.564057187877598,0.42105263157894735,-0.14602881603810738,0.07888649940807191,10,Negative,Descriptive contribution only
CCRRR,Spacing_20,DatasetRegime,CanonicalOriginal,CanonicalOriginal,91,0.21982240190407526,0.1201716738197424,1.400861306826191,20.003838573270848,0.5164835164835165,0.9542437476379009,0.32224429287538014,1,Positive,Descriptive contribution only
CCRRR,Spacing_20,DatasetRegime,122023,2023,7,0.859930524336968,0.5291338582677165,2.364423098614656,6.019513670358776,0.5714285714285714,0.2871490520542385,0.09696908516100253,2,Positive,Descriptive contribution only
CCRRR,Spacing_20,DatasetRegime,LegacyGenerated,LegacyGenerated,2,2.3745810777766607,2.3745810777766607,inf,4.749162155553321,1.0,0.2265494333427969,0.07650483655730485,3,Positive,Descriptive contribution only
CCRRR,Spacing_20,DatasetRegime,092022,2022,4,1.111642524648148,0.9773655913978495,inf,4.446570098592592,1.0,0.2121148748263384,0.07163034394090731,4,Positive,Descriptive contribution only
CCRRR,Spacing_20,DatasetRegime,092024,2024,5,0.7672567046684728,0.3036144578313253,4.153559650066754,3.836283523342364,0.6,0.1830023549183828,0.061799162531773845,5,Positive,Descriptive contribution only
CCRRR,Spacing_20,DatasetRegime,092020,2020,3,0.8214864204957326,1.2119402985074628,2.5576236024984027,2.464459261487198,0.6666666666666666,0.11756217852731599,0.039700276980802994,6,Positive,Descriptive contribution only
CCRRR,Spacing_20,DatasetRegime,062023,2023,3,-0.5957838389477951,-0.8527498521584861,0.37346363702691454,-1.7873515168433851,0.3333333333333333,-0.08526208625068099,0.02879266514550554,7,Negative,Descriptive contribution only
CCRRR,Spacing_20,DatasetRegime,062016,2016,6,-0.3407995072907107,-0.37280585106382974,0.21166477110367082,-2.044797043744264,0.16666666666666666,-0.09754301840791045,0.03293988676330819,8,Negative,Descriptive contribution only
CCRRR,Spacing_20,DatasetRegime,062019,2019,7,-0.31888286518541076,-0.2871794871794871,0.48565777656866266,-2.2321800562978753,0.42857142857142855,-0.10648175621505125,0.035958462730916775,9,Negative,Descriptive contribution only
