Candidate,ValidationMode,AttributionScope,RegimeCode,RegimeYear,Instrument,Count,Mean,Median,ProfitFactor,SumContribution,PositiveFraction,ContributionShareOfNet,AbsoluteContributionShare,NegativeCell,ContributionRankBestToWorst
CCRRR,Spacing_20,YearAggregate,2021,2021,NQ,4,-0.6046530945934251,-0.6928588207657975,0.37807110270390565,-2.4186123783737004,0.5,-0.1153751432040956,0.045682659013785744,True,16
CCRRR,Spacing_20,YearAggregate,2024,2024,ES,6,-0.48134754063020085,-0.6082465450211413,0.4463550140046681,-2.8880852437812052,0.3333333333333333,-0.13777042223315994,0.054550044717425035,True,17
CCRRR,Spacing_20,YearAggregate,2017,2017,NQ,12,-0.31516792223554363,-0.5163934426229508,0.6465446311845895,-3.7820150668265238,0.3333333333333333,-0.1804135850113212,0.07143455736342927,True,18
PriorSlope_DominantPressureValue_Q3,Reference,DatasetRegime,CanonicalOriginal,CanonicalOriginal,ES,95,0.5015941145691246,0.3673469387755102,1.8504069053663263,47.651440884066844,0.5684210526315789,0.24084827296009936,0.16377512769806749,False,1
PriorSlope_DominantPressureValue_Q3,Reference,DatasetRegime,CanonicalOriginal,CanonicalOriginal,NQ,302,0.12553014700502954,0.04737931469678795,1.2496229533841412,37.91010439551892,0.5099337748344371,0.19161190096249087,0.13029474184272122,False,2
PriorSlope_DominantPressureValue_Q3,Reference,DatasetRegime,092022,2022,ES,32,0.9686845213252637,0.16191349709077354,2.4277746213554945,30.99790468240844,0.53125,0.15667504842725916,0.10653792841406926,False,3
PriorSlope_DominantPressureValue_Q3,Reference,DatasetRegime,092020,2020,ES,33,0.7904312303881403,0.4516129032258064,3.6811713261844368,26.08423060280863,0.6666666666666666,0.13183949479017854,0.08964992702475089,False,4
PriorSlope_DominantPressureValue_Q3,Reference,DatasetRegime,092022,2022,NQ,38,0.5146654057945033,0.9165677407507002,2.1333797335161857,19.557285420191125,0.6842105263157895,0.09884986329586004,0.06721721017654132,False,5
PriorSlope_DominantPressureValue_Q3,Reference,DatasetRegime,062021,2021,ES,37,0.4663648158428826,0.2661596958174905,2.1193177738820914,17.255498186186657,0.5945945945945946,0.08721576640925471,0.059306106310867614,False,6
PriorSlope_DominantPressureValue_Q3,Reference,DatasetRegime,062023,2023,NQ,19,0.713480061819777,0.1264516129032258,2.3439445970133006,13.556121174575763,0.5789473684210527,0.06851772606158715,0.046591570690551205,False,7
PriorSlope_DominantPressureValue_Q3,Reference,DatasetRegime,032024,2024,NQ,39,0.21581903942406397,0.0585774058577405,1.335752224887376,8.416942537538494,0.5128205128205128,0.04254238772553837,0.028928523741106556,False,8
PriorSlope_DominantPressureValue_Q3,Reference,DatasetRegime,092020,2020,NQ,28,0.2973487955837335,-0.0839637773443167,1.5198273760570231,8.325766276344538,0.42857142857142855,0.042081548669339636,0.028615156431681384,False,9
PriorSlope_DominantPressureValue_Q3,Reference,DatasetRegime,092024,2024,ES,33,0.2449949967949195,0.0762250453720508,1.783683450201672,8.084834894232344,0.5454545454545454,0.04086379100646455,0.02778708980578655,False,10
PriorSlope_DominantPressureValue_Q3,Reference,DatasetRegime,092024,2024,NQ,42,0.17865086065786623,0.28231029243515265,1.3846153346003374,7.503336147630382,0.6190476190476191,0.037924678017451564,0.02578851369320469,False,11
PriorSlope_DominantPressureValue_Q3,Reference,DatasetRegime,LegacyGenerated,LegacyGenerated,NQ,42,0.17865086065786623,0.28231029243515265,1.3846153346003374,7.503336147630382,0.6190476190476191,0.037924678017451564,0.02578851369320469,False,11
PriorSlope_DominantPressureValue_Q3,Reference,DatasetRegime,122022,2022,ES,33,0.20834908665015522,-0.4345898004434589,1.2463824525492015,6.875519859455123,0.42424242424242425,0.034751458783407574,0.02363074698438708,False,13
PriorSlope_DominantPressureValue_Q3,Reference,DatasetRegime,062023,2023,ES,17,0.10833171500149265,-0.1171548117154811,1.1912279052329724,1.841639155025375,0.35294117647058826,0.00930833573286279,0.006329602677112172,False,14
PriorSlope_DominantPressureValue_Q3,Reference,DatasetRegime,062021,2021,NQ,29,0.04077875508590322,-0.0613362541073384,1.0793600699874344,1.1825838974911935,0.4827586206896552,0.0059772230190087115,0.004064469515129781,False,15
