APVA Age Transition Matrix Study v0.1 - Aggregate
==========================================================

Instruments: 6E, CL, NQ

Aggregate Transition Matrix Lag 1
========================================
State                        Age    NextState                        6E_N    6E_Prob    6E_Lift     CL_N    CL_Prob    CL_Lift     NQ_N    NQ_Prob    NQ_Lift  ValidN   MeanProb   MeanLift
RecoveryResolution           1      RecoveryResolution                339     31.42%      6.532       38     40.43%      6.779       13     28.26%      8.017       3     33.37%      7.109
RecoveryResolution           2      NeutralProcessing                  88     25.96%      0.539       11     28.95%      0.608        4     30.77%      0.608       3     28.56%      0.585
RecoveryResolution           2      RecoveryResolution                251     74.04%     15.393       27     71.05%     11.915        9     69.23%     19.639       3     71.44%     15.649
RecoveryResolution           3      CompressionProcessing             173     68.92%      3.745       17     62.96%      4.827        7     77.78%      7.319       3     69.89%      5.297
RecoveryResolution           3      ExhaustionPersistence              31     12.35%      2.311        4     14.81%      2.258        0      0.00%        N/A       2     13.58%      2.285
RecoveryResolution           3      NeutralProcessing                  31     12.35%      0.256        5     18.52%      0.389        2     22.22%      0.439       3     17.70%      0.361
RecoveryResolution           3      RecoveryResolution                 16      6.37%      1.325        1      3.70%      0.621        0      0.00%        N/A       2      5.04%      0.973
RecoveryResolution           4      CompressionProcessing              10     62.50%      3.396        1    100.00%      7.666        0      0.00%        N/A       2     81.25%      5.531

Aggregate Transition Matrix Lag 2
========================================
State                        Age    NextState                        6E_N    6E_Prob    6E_Lift     CL_N    CL_Prob    CL_Lift     NQ_N    NQ_Prob    NQ_Lift  ValidN   MeanProb   MeanLift
CompressionProcessing        1      CompressionProcessing            1222     41.73%      2.268       66     37.50%      2.874       40     44.94%      4.227       3     41.39%      3.123
CompressionProcessing        1      ConstructiveEmergence               3      0.10%      0.435        1      0.57%      1.270        0      0.00%        N/A       2      0.34%      0.853
CompressionProcessing        1      DecayToNeutral                     53      1.81%      0.429        3      1.70%      0.444        2      2.25%      0.504       3      1.92%      0.459
CompressionProcessing        1      DestructiveRotation                55      1.88%      0.699        3      1.70%      0.544        1      1.12%      0.274       3      1.57%      0.506
CompressionProcessing        1      ExhaustionPersistence             182      6.22%      1.163       13      7.39%      1.126        2      2.25%      0.405       3      5.28%      0.898
CompressionProcessing        1      MixedStructure                    112      3.83%      0.368        7      3.98%      0.342        2      2.25%      0.202       3      3.35%      0.304
CompressionProcessing        1      NeutralProcessing                1137     38.83%      0.806       66     37.50%      0.787       35     39.33%      0.777       3     38.55%      0.790
CompressionProcessing        1      ReassertionProcessing              46      1.57%      0.275        9      5.11%      0.663        5      5.62%      0.605       3      4.10%      0.514
CompressionProcessing        1      RecoveryResolution                118      4.03%      0.838        8      4.55%      0.762        2      2.25%      0.637       3      3.61%      0.746
CompressionProcessing        2      CompressionProcessing             832     50.15%      2.725       39     42.39%      3.248       23     45.10%      4.241       3     45.88%      3.405
CompressionProcessing        2      DecayToNeutral                     41      2.47%      0.586        0      0.00%        N/A        5      9.80%      2.198       2      6.14%      1.392
CompressionProcessing        2      DestructiveRotation                12      0.72%      0.269        0      0.00%        N/A        1      1.96%      0.479       2      1.34%      0.374
CompressionProcessing        2      ExhaustionPersistence             102      6.15%      1.151       10     10.87%      1.656        2      3.92%      0.707       3      6.98%      1.171
CompressionProcessing        2      MixedStructure                     78      4.70%      0.452        3      3.26%      0.280        6     11.76%      1.060       3      6.58%      0.597
CompressionProcessing        2      NeutralProcessing                 499     30.08%      0.624       36     39.13%      0.821       11     21.57%      0.426       3     30.26%      0.624
CompressionProcessing        2      ReassertionProcessing              27      1.63%      0.285        1      1.09%      0.141        0      0.00%        N/A       2      1.36%      0.213
CompressionProcessing        2      RecoveryResolution                 66      3.98%      0.827        3      3.26%      0.547        3      5.88%      1.668       3      4.37%      1.014
CompressionProcessing        3      CompressionProcessing             387     46.07%      2.503       16     39.02%      2.990       12     40.00%      3.762       3     41.70%      3.085
