APVA Excursion Destinations Study v0.1 - Aggregate
================================================================================================
Instruments: 6E, CL, NQ

1. Destination Inventory
DestinationFamily | Count | Count_6E | Count_CL | Count_NQ | Probability | ReplicationCount
ConstructiveEmergence | VolumeRelativeToPrevious | t-5 | 1.3286 | 1.1232 | 0.9551
ConstructiveEmergence | VolumeRelativeToRollingMean | t-1 | 1.0067 | 0.9128 | 0.6233
ConstructiveEmergence | VolumeRelativeToRollingMean | t-2 | 0.7004 | 0.6922 | 0.3099
ConstructiveEmergence | VolumeRelativeToRollingMean | t-3 | 0.5095 | 0.4813 | 0.1552
ConstructiveEmergence | VolumeRelativeToRollingMean | t-5 | 1.0702 | 0.6401 | 1.1727
ConstructiveEmergence | VolumeRelativeToSessionMean | t-1 | 1.1337 | 1.1288 | 0.6696
ConstructiveEmergence | VolumeRelativeToSessionMean | t-2 | 0.8572 | 0.9966 | 0.4606
ConstructiveEmergence | VolumeRelativeToSessionMean | t-3 | 0.6672 | 0.7969 | 0.2966
ConstructiveEmergence | VolumeRelativeToSessionMean | t-5 | 1.2979 | 0.9157 | 1.2825
ConstructiveEmergence | EfficiencyRatio | t-1 | 0.4693 | 0.5000 | 0.2547
ConstructiveEmergence | EfficiencyRatio | t-2 | 0.4421 | 0.4000 | 0.3144
ConstructiveEmergence | EfficiencyRatio | t-3 | 0.4428 | 0.4902 | 0.3414
ConstructiveEmergence | EfficiencyRatio | t-5 | 0.3033 | 0.2500 | 0.2133
ConstructiveEmergence | CloseLocation | t-1 | 0.5888 | 0.6667 | 0.2327
ConstructiveEmergence | CloseLocation | t-2 | 0.5608 | 0.7143 | 0.3558
ConstructiveEmergence | CloseLocation | t-3 | 0.5129 | 0.5000 | 0.3172
ConstructiveEmergence | CloseLocation | t-5 | 0.5339 | 0.6000 | 0.2568
ConstructiveEmergence | MemoryStrength | t-1 | 0.2213 | 0.2213 | 0.0000
ConstructiveEmergence | MemoryStrength | t-2 | 0.2382 | 0.2213 | 0.0358
ConstructiveEmergence | MemoryStrength | t-3 | 0.2897 | 0.3142 | 0.0550
ConstructiveEmergence | MemoryStrength | t-5 | 0.3283 | 0.3518 | 0.0485
ConstructiveEmergence | BranchEntropy | t-1 | 1.1786 | 1.1786 | 0.0000
ConstructiveEmergence | BranchEntropy | t-2 | 1.1016 | 1.1786 | 0.1635
ConstructiveEmergence | BranchEntropy | t-3 | 0.8531 | 0.7548 | 0.2698
ConstructiveEmergence | BranchEntropy | t-5 | 0.8357 | 0.8421 | 0.2829
ConstructiveEmergence | PolarityFlipFlag | t-1 | 0.7273 | 1.0000 | 0.4454
ConstructiveEmergence | PolarityFlipFlag | t-2 | 0.4545 | 0.0000 | 0.4979
ConstructiveEmergence | PolarityFlipFlag | t-3 | 0.8182 | 1.0000 | 0.3857
ConstructiveEmergence | PolarityFlipFlag | t-5 | 0.5455 | 1.0000 | 0.4979
DestructiveRotation | RangeRelativeToPrevious | t-1 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | RangeRelativeToPrevious | t-2 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | RangeRelativeToPrevious | t-3 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | RangeRelativeToPrevious | t-5 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | BodyRelativeToPrevious | t-1 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | BodyRelativeToPrevious | t-2 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | BodyRelativeToPrevious | t-3 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | BodyRelativeToPrevious | t-5 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | TrueRangeRelativeToPrevious | t-1 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | TrueRangeRelativeToPrevious | t-2 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | TrueRangeRelativeToPrevious | t-3 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | TrueRangeRelativeToPrevious | t-5 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | VolumeRelativeToPrevious | t-1 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | VolumeRelativeToPrevious | t-2 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | VolumeRelativeToPrevious | t-3 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | VolumeRelativeToPrevious | t-5 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | VolumeRelativeToRollingMean | t-1 | 0.0000 | 0.0000 | 0.0000
